[00:00.000 --> 00:04.000]  Komfortowa temperatura dla Ciebie.
[01:28:45.320 --> 01:28:46.320]  Etcetera.
[01:28:46.320 --> 01:28:47.320]  Yeah?
[01:28:47.320 --> 01:28:56.320]  So we will.
[01:28:56.320 --> 01:29:00.320]  You can try of course.
[01:29:00.320 --> 01:29:03.320]  We will go back and we will check.
[01:29:03.320 --> 01:29:08.320]  i biernik aktywizacyjny będzie dla nas na pewno ważny.
[01:29:08.320 --> 01:29:12.320]  Dlaczego? Bo jest również związany z jadą,
[01:29:12.320 --> 01:29:15.320]  więc kiedy chcielibyśmy wyjaśnić, że jadę coś,
[01:29:15.320 --> 01:29:17.320]  to mówimy o tym.
[01:29:17.320 --> 01:29:20.320]  Czy macie pytania dzisiaj?
[01:29:20.320 --> 01:29:24.320]  Bardzo dziękuję.
[01:29:24.320 --> 01:29:27.320]  Bardzo dobry Polski.
[01:29:27.320 --> 01:29:30.320]  Dużo konwersacji. Gratulacje.
[01:29:30.320 --> 01:29:32.320]  Do zobaczenia.
[01:29:32.320 --> 01:29:34.320]  Dziękuję.
